Eng Displ,# Cyl,Comb Unadj FE - Conventional Fuel,# Gears,Max Ethanol % - Gasoline,Intake Valves Per Cyl,Exhaust Valves Per Cyl,Fuel Metering Sys Desc,Air Aspiration Method Desc,Trans Desc,Cyl Deact?,Var Valve Lift?
2.0,4,35.5376,8,10.0,2,2,unknown,Turbocharged,Semi-Automatic,   ,Y
1.2,3,49.451,5,10.0,2,2,unknown,Naturally Aspirated,Manual,N,N
3.0,6,28.9395,10,,2,2,Common Rail Direct Diesel Injection,Turbocharged,XXXXX,   ,N
1.6,4,43.4935,6,,2,2,Common Rail Direct Diesel Injection,Turbocharged,XXXXX,N,N
3.5,6,25.4442,6,15.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,   ,N
2.4,4,31.4586,9,10.0,2,2,unknown,Naturally Aspirated,XXXXX,   ,Y
,6,30.0241,8,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,Semi-Automatic,   ,N
,6,27.9434,10,15.0,2,2,Spark Ignition direct & ported injection,Turbocharged,Semi-Automatic,   ,N
2.8,4,32.6893,6,,2,2,Common Rail Direct Diesel Injection,Turbocharged,XXXXX,,N
2.3,4,32.7877,6,15.0,2,2,unknown,Turbocharged,Manual,N,N
5.5,8,19.5249,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
3.5,6,24.4889,10,15.0,2,2,Spark Ignition direct & ported injection,Turbocharged,Semi-Automatic,N,N
3.6,6,26.988000000000003,6,10.0,2,2,Spark Ignition Direct Injection,Naturally Aspirated,XXXXX,,N
1.0,3,46.512,6,15.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
5.2,10,19.3878,7,15.0,2,2,unknown,Naturally Aspirated,Automated Manual- Selectable (e.g. Automated Manual with paddles),Y,Y
2.0,4,36.1101,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual,N,N
1.6,4,50.0238,9,,2,2,Common Rail Direct Diesel Injection,Turbocharged,XXXXX,N,N
,6,30.1043,8,15.0,2,2,Spark Ignition direct & ported injection,Naturally Aspirated,Semi-Automatic,   ,N
2.0,4,29.9881,6,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,XXXXX,N,N
3.5,6,29.1837,6,85.0,2,2,Multipoint/sequential fuel injection,Naturally Aspirated,XXXXX,   ,N
,8,23.3217,7,10.0,2,2,Spark Ignition Direct Injection,Turbocharged,Automated Manual,N,N
